Effective date ,S&P GSCI Energy & Metals,Rate of rise or fall,Ln(B),Ln(今日)-Ln(昨日),5日标准差,5日年化标准差,,,
2012/5/31,455.48,-1.343%,6.121351808,-0.013520202,0.013699149,0.217467252,,,
2012/6/1,442.47,-2.856%,6.092372666,-0.028979142,0.014140218,0.224468995,,,
2012/6/4,444.53,0.466%,6.097017544,0.004644879,0.01487187,0.236083616,,,
2012/6/5,445.84,0.295%,6.099960143,0.002942599,0.016065552,0.25503273,,,
2012/6/6,450.83,1.119%,6.111090328,0.011130185,0.016306346,0.25885522,,,
2012/6/7,448.5,-0.517%,6.105908681,-0.005181647,0.01559693,0.247593592,,,
2012/6/8,445.62,-0.642%,6.099466571,-0.006442111,0.007286981,0.115677235,,,
2012/6/11,440.95,-1.048%,6.08893149,-0.010535081,0.008642934,0.137202323,,,
2012/6/12,441.43,0.109%,6.090019457,0.001087967,0.00843563,0.133911476,,,
2012/6/13,439.37,-0.467%,6.085341883,-0.004677574,0.004177471,0.066315298,,,
2012/6/14,444.01,1.056%,6.095847085,0.010505202,0.008149604,0.129370959,,,
2012/6/15,445.62,0.363%,6.099466571,0.003619486,0.008023578,0.12737036,,,
2012/6/18,441.83,-0.851%,6.090925193,-0.008541378,0.007393976,0.117375722,,,
2012/6/19,443.21,0.312%,6.094043698,0.003118506,0.007496349,0.119000844,,,
2012/6/20,432.41,-2.437%,6.069374212,-0.024669486,0.013817836,0.219351353,,,
2012/6/21,418.54,-3.208%,6.036772465,-0.032601747,0.016349895,0.259546533,,,
2012/6/22,423.24,1.123%,6.047939394,0.011166929,0.018356389,0.291398636,,,
2012/6/25,422.97,-0.064%,6.047301255,-0.000638139,0.018879092,0.299696298,,,
2012/6/26,426.4,0.811%,6.055377873,0.008076618,0.019766054,0.31377638,,,
2012/6/27,429.1,0.633%,6.061689992,0.006312119,0.017897253,0.28411008,,,
2012/6/28,419.95,-2.132%,6.040135657,-0.021554335,0.013157786,0.208873374,,,
